start,end,content,index
137.5,337.5,she,0
337.5,566.5625,had,1
566.5625,657.5,your,2
657.5,968.625,dark,3
968.625,1252.5,suit,4
1252.5,1407.25,in,5
1407.25,1759.75,greasy,6
1759.75,2125,wash,7
2125,2397.5,water,8
2465.5,2684.0625,all,9
2684.0625,3031.5,year,10
3484.75,3650,don't,11
3650,3907.5,ask,12
3907.5,4082.5,me,13
4082.5,4162.5,to,14
4162.5,4458.625,carry,15
4458.625,4536.9375,an,16
4536.9375,4897.25,oily,17
4897.25,5208,rag,18
5208,5442.5,like,19
5442.5,5802.5,that,20
6259.375,6427.5,she,21
6427.5,6675.75,had,22
6675.75,6757.5,your,23
6757.5,7091.25,dark,24
7091.25,7415,suit,25
7415,7506.625,in,26
7506.625,7918.9375,greasy,27
7918.9375,8300.125,wash,28
8340,8610.8125,water,29
8610.8125,8772.6875,all,30
8772.6875,9138.25,year,31
9538.75,9687.5,don't,32
9687.5,9896.875,ask,33
9930,10000,me,34
10000,10095,to,35
10095,10464.1875,carry,36
10464.1875,10532.5,an,37
10532.5,10842.375,oily,38
10842.375,11194.625,rag,39
11194.625,11429.375,like,40
11429.375,11788.75,that,41
