start,end,content,index
137.500000,326.312500,she,0
326.312500,563.937500,had,1
522.500000,622.500000,your,2
622.500000,966.000000,dark,3
966.000000,1281.937500,suit,4
1281.937500,1428.187500,in,5
1428.187500,1792.500000,greasy,6
1792.500000,2135.750000,wash,7
2135.750000,2365.500000,water,8
2443.375000,2682.500000,all,9
2682.500000,2977.687500,year,10
3297.500000,3468.062500,don't,11
3468.062500,3758.187500,ask,12
3758.187500,3847.500000,me,13
3847.500000,3914.562500,to,14
3914.562500,4342.750000,carry,15
4342.750000,4478.500000,an,16
4478.500000,4781.375000,oily,17
4781.375000,5102.500000,rag,18
5102.500000,5355.812500,like,19
5355.812500,5676.937500,that,20
5933.125000,6192.062500,she,21
6192.062500,6500.000000,had,22
6450.000000,6582.500000,your,23
6582.500000,6894.437500,dark,24
6894.437500,7304.375000,suit,25
7304.375000,7450.562500,in,26
7450.562500,7886.562500,greasy,27
7886.562500,8273.750000,wash,28
8325.000000,8670.562500,water,29
8670.562500,8892.500000,all,30
8892.500000,9263.250000,year,31
9650.625000,9817.500000,don't,32
9817.500000,10069.375000,ask,33
10121.750000,10185.000000,me,34
10185.000000,10272.500000,to,35
10272.500000,10612.000000,carry,36
10612.000000,10730.000000,an,37
10730.000000,11089.812500,oily,38
11089.812500,11458.500000,rag,39
11458.500000,11648.500000,like,40
11648.500000,12055.500000,that,41
